,date,close,volume,volume_avg,trade_flag,shadow_sum,fee,num,dPrice,sum,dTime,dCode,cash,val,secVal,margin_ratio,open_num,trade_way,pos_num
TF.CFE,2015-03-11 13:45:00,98.72,4690.0,1497.0,1,-1,40,-50000.0,98.72,-4936000.0,2015-03-11 13:45:00,TF.CFE,1063240.0,1063240.0,0,0.0,19,多开,1
TF.CFE,2015-03-12 10:00:00,98.758,1944.0,2083.2,0,0,0.0,50000.0,98.758,4937900.0,2015-03-12 10:00:00,TF.CFE,5999200.0,1062700.0,-4936500.0,0.0,19,多平,1
TF.CFE,2015-03-24 10:00:00,98.15,2687.0,993.6,1,-1,40,-50000.0,98.15,-4907500.0,2015-03-24 10:00:00,TF.CFE,1061300.0,1061300.0,0,0.0,20,多开,1
TF.CFE,2015-03-25 10:00:00,97.98,740.0,597.0,0,0,0.0,50000.0,97.98,4899000.0,2015-03-25 10:00:00,TF.CFE,5968760.0,1076010.0,-4892750.0,0.0,20,多平,1
TF.CFE,2015-03-27 09:30:00,97.17,2441.0,835.8,1,1,40,50000.0,97.17,4858500.0,2015-03-27 09:30:00,TF.CFE,1069760.0,1069760.0,0,0.0,21,多开,1
TF.CFE,2015-03-30 10:00:00,97.315,3427.0,3950.6,0,0,0.0,-50000.0,97.315,-4865750.0,2015-03-30 10:00:00,TF.CFE,-3788780.0,1078970.0,4867750.0,0.0,21,多平,1
TF.CFE,2015-03-31 09:30:00,96.86,1637.0,781.6,1,1,40,50000.0,96.86,4843000.0,2015-03-31 09:30:00,TF.CFE,1076970.0,1076970.0,0,0.0,22,多开,1
TF.CFE,2015-04-01 10:00:00,97.105,1115.0,1240.6,0,0,0.0,-50000.0,97.105,-4855250.0,2015-04-01 10:00:00,TF.CFE,-3766070.0,1087680.0,4853750.0,0.0,22,多平,1
TF.CFE,2015-04-20 09:30:00,97.65,3105.0,1440.6,1,-1,40,-50000.0,97.65,-4882500.0,2015-04-20 09:30:00,TF.CFE,1089180.0,1089180.0,0,0.0,23,多开,1
TF.CFE,2015-04-21 10:00:00,98.19,647.0,714.2,0,0,0.0,50000.0,98.19,4909500.0,2015-04-21 10:00:00,TF.CFE,5971640.0,1061890.0,-4909750.0,0.0,23,多平,1
TF.CFE,2015-05-11 09:30:00,97.24,2531.0,741.6,1,1,40,50000.0,97.24,4862000.0,2015-05-11 09:30:00,TF.CFE,1062140.0,1062140.0,0,0.0,24,多开,1
TF.CFE,2015-05-12 10:00:00,97.805,287.0,416.6,0,0,0.0,-50000.0,97.805,-4890250.0,2015-05-12 10:00:00,TF.CFE,-3799900.0,1089850.0,4889750.0,0.0,24,多平,1
TF.CFE,2015-05-18 14:00:00,98.205,761.0,367.8,1,1,40,50000.0,98.205,4910250.0,2015-05-18 14:00:00,TF.CFE,1090350.0,1090350.0,0,0.0,25,多开,1
TF.CFE,2015-05-19 10:00:00,98.175,167.0,373.4,0,0,0.0,-50000.0,98.175,-4908750.0,2015-05-19 10:00:00,TF.CFE,-3819940.0,1090310.0,4910250.0,0.0,25,多平,1
